ID_Registro,ID_Equipo,Fecha,Temperatura_C,Vibracion_mm_s,Horas_Operativas
1,260,2020-01-01 00:00:00,101.43,1.22,71849.0
2,376,2020-01-01 01:00:00,118.51,2.97,49670.0
3,443,2020-01-01 02:00:00,76.04,2.93,33106.0
4,281,2020-01-01 03:00:00,97.09,3.25,31744.0
5,427,2020-01-01 04:00:00,139.42,4.22,78104.0
6,48,2020-01-01 05:00:00,98.77,2.73,89664.0
7,45,2020-01-01 06:00:00,56.9,4.64,75874.0
8,151,2020-01-01 07:00:00,113.15,2.11,90374.0
9,280,2020-01-01 08:00:00,63.39,2.78,79244.0
10,224,2020-01-01 09:00:00,122.37,1.91,91137.0
11,273,2020-01-01 10:00:00,59.49,4.64,18341.0
12,184,2020-01-01 11:00:00,123.42,0.32,26722.0
13,74,2020-01-01 12:00:00,115.47,4.08,15286.0
14,297,2020-01-01 13:00:00,71.11,3.24,42929.0
15,439,2020-01-01 14:00:00,110.06,3.34,24251.0
16,296,2020-01-01 15:00:00,106.58,0.24,75530.0
17,449,2020-01-01 16:00:00,106.33,1.57,39026.0
18,203,2020-01-01 17:00:00,56.42,4.67,70018.0
19,249,2020-01-01 18:00:00,136.92,1.58,34813.0
20,198,2020-01-01 19:00:00,85.92,3.34,66313.0
21,395,2020-01-01 20:00:00,87.78,1.32,28756.0
22,398,2020-01-01 21:00:00,121.22,2.58,66076.0
23,27,2020-01-01 22:00:00,57.43,1.1,22841.0
24,366,2020-01-01 23:00:00,122.81,2.45,82301.0
25,359,2020-01-02 00:00:00,132.97,0.59,93133.0
26,129,2020-01-02 01:00:00,60.85,4.95,16224.0
27,23,2020-01-02 02:00:00,99.73,0.92,30431.0
28,1,2020-01-02 03:00:00,93.8,0.7,80054.0
29,131,2020-01-02 04:00:00,111.99,1.65,90520.0
30,91,2020-01-02 05:00:00,110.68,3.77,70991.0
31,388,2020-01-02 06:00:00,62.22,1.72,54622.0
32,220,2020-01-02 07:00:00,85.41,2.33,63194.0
33,360,2020-01-02 08:00:00,123.62,2.34,21661.0
34,174,2020-01-02 09:00:00,71.21,0.43,64624.0
35,128,2020-01-02 10:00:00,64.44,4.78,85849.0
36,37,2020-01-02 11:00:00,140.31,0.66,36453.0
37,21,2020-01-02 12:00:00,133.82,1.26,85762.0
38,160,2020-01-02 13:00:00,82.38,0.46,97342.0
