ID_Equipo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
1,Compresor,Siemens,Z300,3429.0,7725
2,Transformador,Siemens,Y200,75.0,7390
3,Compresor,ABB,Z300,4526.0,5238
4,Compresor,GE,X100,3981.0,8933
5,Motor,Siemens,Y200,377.0,5978
6,Transformador,GE,M400,423.0,5091
7,Transformador,Siemens,X100,2249.0,2896
8,Motor,ABB,X100,3607.0,3554
9,Generador,GE,Y200,3960.0,9489
10,Motor,Schneider,M400,465.0,9859
11,Transformador,Schneider,M400,2374.0,2922
12,Motor,Siemens,Z300,4733.0,3301
13,Motor,GE,Y200,1839.0,5678
14,Compresor,GE,Z300,3897.0,9451
15,Generador,ABB,M400,825.0,7850
16,Generador,ABB,Y200,1884.0,6904
17,Transformador,Schneider,M400,4310.0,8649
18,Transformador,GE,Y200,4246.0,4516
19,Transformador,ABB,Y200,2175.0,828
20,Compresor,GE,M400,3511.0,4698
21,Transformador,ABB,M400,755.0,2921
22,Motor,Schneider,Z300,1180.0,4134
23,Compresor,GE,M400,3918.0,1988
24,Transformador,GE,Z300,4482.0,6699
25,Generador,GE,Y200,4854.0,2005
26,Generador,ABB,Z300,89345.784408896,3605
27,Compresor,Siemens,M400,314.0,6739
28,Compresor,GE,X100,4722.0,9660
29,Transformador,GE,X100,91.0,7812
30,Generador,GE,X100,248.0,865
31,Generador,Schneider,M400,3148.0,4496
32,Generador,Siemens,M400,3436.0,7039
33,Generador,ABB,M400,4720.0,3143
34,Compresor,GE,Y200,4056.0,6465
35,Motor,ABB,Y200,2005.0,7168
36,Motor,Siemens,M400,4351.0,3549
37,Transformador,Schneider,Z300,1274.0,2379
38,Motor,Schneider,X100,85407.38294294727,3190
39,Generador,GE,Z300,478.0,8144
40,Motor,Schneider,Z300,4811.0,9303
41,Transformador,ABB,X100,1117.0,9988
42,Generador,GE,M400,625.0,7863
43,Motor,GE,X100,780.0,5264
44,Generador,ABB,Z300,3083.0,7857
45,Compresor,GE,X100,87231.88527290078,7340
46,Transformador,Schneider,M400,3570.0,4326
47,Motor,Siemens,Z300,1883.0,9004
48,Motor,ABB,Z300,2560.0,1100
49,Generador,Schneider,X100,269.0,7647
50,Transformador,Siemens,Z300,2222.0,3864
51,Generador,GE,X100,2157.0,3183
52,Generador,ABB,Z300,1144.0,6556
53,Generador,Siemens,Z300,3332.0,6373
54,Motor,Schneider,M400,4597.0,3659
55,Transformador,ABB,X100,1005.0,3476
56,Motor,Siemens,Z300,3066.0,3578
57,Transformador,Schneider,Y200,4585.0,6931
58,Compresor,ABB,X100,3113.0,1439
59,Compresor,Schneider,Z300,2725.0,7002
60,Generador,GE,X100,154.0,2131
61,Compresor,GE,M400,2537.0,1190
62,Generador,GE,Z300,4615.0,695
63,Generador,Schneider,Y200,3138.0,6390
64,Generador,Schneider,Y200,1018.0,7884
65,Compresor,Schneider,M400,1315.0,7135
66,Transformador,Schneider,M400,462.0,7767
67,Transformador,Siemens,Z300,385.0,3249
68,Transformador,ABB,Y200,3445.0,5390
69,Generador,Schneider,X100,4928.0,9028
70,Compresor,Schneider,Z300,4078.0,4324
71,Transformador,ABB,X100,2617.0,8191
72,Motor,Schneider,Y200,4521.0,1678
73,Motor,Schneider,M400,4456.0,8828
74,Motor,Schneider,Y200,4409.0,1633
75,Transformador,Siemens,M400,1129.0,6842
76,Compresor,Schneider,Z300,3453.0,1807
77,Motor,ABB,X100,2395.0,2555
78,Generador,Schneider,M400,4194.0,7519
79,Generador,ABB,Z300,2029.0,3557
80,Compresor,Siemens,M400,4430.0,2723
81,Compresor,ABB,X100,446.0,2659
82,Generador,ABB,X100,3786.0,9495
83,Compresor,Schneider,Z300,506.0,9555
84,Motor,GE,X100,3637.0,1818
85,Motor,GE,X100,3062.0,3315
86,Motor,GE,X100,2519.0,1575
87,Motor,ABB,M400,1407.0,6355
88,Transformador,ABB,X100,1644.0,2727
89,Motor,ABB,M400,183.0,7833
90,Transformador,Schneider,Z300,907.0,5243
91,Transformador,Schneider,X100,1197.0,5917
92,Motor,GE,Z300,4579.0,8137
93,Generador,GE,M400,4624.0,1108
94,Transformador,ABB,Z300,2727.0,6994
95,Transformador,GE,M400,1095.0,1294
96,Transformador,Schneider,Y200,4004.0,1119
97,Generador,GE,Y200,3869.0,5153
98,Generador,ABB,Y200,1702.0,8433
99,Compresor,GE,Y200,4669.0,3477
100,Compresor,Siemens,X100,65016.80147792513,3160
101,Transformador,Schneider,X100,326.0,7398
102,Compresor,Schneider,Z300,3278.0,3135
103,Motor,Siemens,Y200,1631.0,1616
104,Transformador,ABB,Y200,2664.0,4943
105,Transformador,GE,X100,4003.0,5004
106,Compresor,Schneider,Z300,3095.0,2579
107,Compresor,Siemens,M400,3056.0,9954
108,Transformador,Siemens,M400,791.0,2011
109,Motor,Schneider,X100,2315.0,3170
110,Transformador,Siemens,X100,2838.0,5809
111,Generador,Siemens,Y200,1596.0,5657
112,Generador,GE,Z300,1650.0,5382
113,Compresor,Schneider,M400,216.0,5122
114,Compresor,ABB,X100,2979.0,4628
115,Motor,Siemens,Y200,1491.0,7305
116,Generador,ABB,Y200,731.0,3490
117,Motor,GE,X100,2068.0,1824
118,Transformador,Siemens,M400,1700.0,587
119,Generador,ABB,M400,2780.0,4535
120,Generador,ABB,M400,3458.0,8225
121,Transformador,Siemens,X100,589.0,8199
122,Transformador,ABB,M400,80059.21943944672,1474
123,Generador,ABB,X100,3565.0,7238
124,Transformador,Schneider,M400,1099.0,8663
125,Transformador,GE,M400,2077.0,547
126,Generador,GE,Y200,1926.0,3277
127,Compresor,ABB,Z300,1957.0,3472
128,Motor,Siemens,Y200,3461.0,7529
129,Compresor,GE,Z300,1789.0,7223
130,Compresor,Schneider,Y200,633.0,7585
131,Motor,Schneider,M400,3935.0,6293
132,Motor,ABB,X100,4940.0,2463
133,Generador,GE,Y200,347.0,8833
134,Transformador,ABB,Y200,1208.0,2107
135,Generador,Siemens,X100,1372.0,9739
136,Generador,ABB,X100,2512.0,2104
137,Generador,ABB,M400,4781.0,8772
138,Compresor,ABB,Y200,1149.0,2920
139,Compresor,Siemens,Y200,2683.0,2185
140,Compresor,Siemens,Y200,1329.0,4014
141,Motor,GE,Y200,4459.0,8434
142,Compresor,GE,Y200,1652.0,8840
143,Motor,ABB,M400,3856.0,2642
144,Compresor,Siemens,M400,1451.0,7303
145,Motor,Schneider,Z300,94067.25172323486,8722
146,Generador,Siemens,Y200,1825.0,5485
147,Transformador,Schneider,Z300,4868.0,9440
148,Generador,Siemens,M400,2931.0,509
149,Generador,GE,Z300,4220.0,684
150,Compresor,ABB,Y200,1769.0,5484
151,Motor,ABB,Y200,4152.0,3183
152,Compresor,GE,M400,294.0,2236
153,Motor,GE,Z300,131.0,7942
154,Motor,Schneider,Z300,2355.0,6278
155,Motor,Siemens,X100,1652.0,3195
156,Compresor,Schneider,Y200,1568.0,6806
157,Motor,Schneider,M400,4523.0,3637
158,Generador,Schneider,X100,4082.0,6958
159,Compresor,Siemens,Y200,521.0,7978
160,Motor,GE,Z300,2945.0,3638
161,Motor,ABB,Z300,1706.0,4455
162,Motor,GE,X100,1599.0,8383
163,Generador,GE,M400,1337.0,2989
164,Transformador,Schneider,Y200,3050.0,7955
165,Transformador,Schneider,Z300,1806.0,9335
166,Transformador,ABB,X100,275.0,7358
167,Transformador,ABB,Z300,-100.0,9737
168,Motor,Schneider,M400,766.0,5668
169,Compresor,ABB,Z300,233.0,3890
170,Motor,Schneider,M400,3776.0,1173
171,Compresor,Schneider,Y200,3935.0,1613
172,Compresor,GE,M400,4929.0,5941
173,Transformador,ABB,Z300,1711.0,9571
174,Motor,GE,M400,3161.0,6536
175,Motor,GE,Z300,3261.0,3846
176,Motor,ABB,M400,425.0,9406
177,Generador,GE,X100,3061.0,2200
178,Motor,ABB,Y200,4463.0,8853
179,Generador,Schneider,X100,4059.0,9887
180,Transformador,ABB,Y200,3385.0,8754
181,Transformador,ABB,M400,2769.0,8223
182,Motor,GE,M400,3762.0,5428
183,Compresor,ABB,Y200,1426.0,6849
184,Compresor,GE,X100,132.0,5634
185,Compresor,Schneider,Z300,215.0,3803
186,Motor,Schneider,Z300,4267.0,4383
187,Compresor,Schneider,Z300,768.0,7515
188,Motor,ABB,X100,2331.0,9958
189,Compresor,ABB,Z300,1714.0,3671
190,Motor,ABB,X100,4741.0,1549
191,Compresor,ABB,X100,1915.0,6573
192,Motor,Schneider,M400,4782.0,2449
193,Motor,ABB,Y200,1083.0,2944
194,Motor,GE,Y200,4898.0,7838
195,Transformador,Siemens,M400,540.0,8951
196,Transformador,GE,Y200,3710.0,6636
197,Compresor,GE,Z300,281.0,4236
198,Motor,Siemens,X100,946.0,6127
199,Motor,ABB,Y200,742.0,4856
200,Compresor,Schneider,X100,3572.0,6291
201,Motor,GE,Y200,4730.0,3538
202,Transformador,Siemens,Y200,3835.0,7627
203,Compresor,GE,X100,637.0,5843
204,Transformador,ABB,Z300,1853.0,4941
205,Generador,ABB,M400,4134.0,8924
206,Generador,GE,M400,4989.0,4729
207,Motor,GE,X100,182.0,904
208,Transformador,GE,Y200,1795.0,6837
209,Generador,Schneider,M400,2372.0,5027
210,Generador,Schneider,M400,3899.0,1499
211,Compresor,Schneider,Z300,1232.0,9397
212,Transformador,GE,M400,1166.0,5328
213,Generador,GE,Z300,623.0,800
214,Transformador,Siemens,X100,2729.0,2209
215,Motor,Schneider,Y200,-100.0,1243
216,Transformador,Schneider,Y200,2232.0,2417
217,Compresor,ABB,Y200,4783.0,5133
218,Transformador,Siemens,M400,3839.0,1771
219,Generador,Siemens,Y200,464.0,9272
220,Compresor,ABB,Z300,4546.0,2061
221,Transformador,GE,X100,4406.0,1237
222,Motor,Siemens,Z300,4932.0,8281
223,Compresor,Siemens,M400,1112.0,3775
224,Compresor,GE,X100,3513.0,8895
225,Motor,Schneider,Z300,1484.0,1407
226,Compresor,GE,X100,605.0,3503
227,Compresor,ABB,Z300,940.0,8078
228,Compresor,Siemens,Z300,2569.0,5766
229,Generador,Schneider,M400,3905.0,4079
230,Motor,ABB,Z300,4247.0,1751
231,Motor,GE,Y200,4749.0,6273
232,Compresor,Siemens,Z300,2576.0,5610
233,Transformador,ABB,Z300,3373.0,4580
234,Generador,Schneider,X100,1526.0,6835
235,Compresor,Schneider,X100,3744.0,1706
236,Transformador,GE,Y200,100.0,7685
237,Transformador,Schneider,Z300,3479.0,3874
238,Generador,Siemens,Z300,1250.0,6496
239,Transformador,ABB,X100,4866.0,1823
240,Compresor,Siemens,Y200,194.0,1302
241,Compresor,GE,Z300,621.0,3529
