ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion
1,1,2021-01-09,Correctivo,3992,20,Ubicacion_C
2,1,2021-01-20,Correctivo,1689,21,Ubicacion_C
3,1,2021-02-02,Correctivo,2787,7,Ubicacion_C
4,1,2021-02-14,Correctivo,2857,9,Ubicacion_C
5,1,2021-02-15,Correctivo,2421,2,Ubicacion_C
6,1,2021-03-18,Correctivo,4527,14,Ubicacion_C
7,1,2021-04-25,Correctivo,2235,22,Ubicacion_C
8,1,2021-05-16,Correctivo,1069,21,Ubicacion_C
9,1,2021-07-15,Correctivo,4101,10,Ubicacion_C
10,1,2021-07-18,Correctivo,2754,18,Ubicacion_C
11,1,2021-08-02,Correctivo,4045,10,Ubicacion_C
12,1,2021-08-17,Correctivo,4686,7,Ubicacion_C
13,1,2021-08-28,Correctivo,4240,7,Ubicacion_C
14,1,2021-09-29,Correctivo,2058,19,Ubicacion_C
15,1,2021-10-03,Correctivo,1137,22,Ubicacion_C
16,1,2021-10-25,Correctivo,1199,6,Ubicacion_C
17,1,2021-11-25,Correctivo,2897,20,Ubicacion_C
18,1,2021-12-12,Correctivo,4248,18,Ubicacion_C
19,1,2021-12-31,Correctivo,2933,9,Ubicacion_C
20,1,2022-01-31,Correctivo,3576,1,Ubicacion_C
21,1,2022-03-30,Correctivo,2710,7,Ubicacion_C
22,1,2022-04-05,Correctivo,3580,20,Ubicacion_C
23,1,2022-04-22,Correctivo,2169,17,Ubicacion_C
24,1,2022-05-28,Correctivo,960,13,Ubicacion_C
25,1,2022-06-16,Correctivo,1528,11,Ubicacion_C
26,1,2022-07-11,Correctivo,4595,22,Ubicacion_C
27,1,2022-08-01,Correctivo,4035,8,Ubicacion_C
28,1,2022-08-26,Correctivo,848,6,Ubicacion_C
29,1,2022-09-02,Correctivo,2975,9,Ubicacion_C
30,1,2022-09-19,Correctivo,4712,8,Ubicacion_C
31,1,2022-09-22,Correctivo,601,21,Ubicacion_C
32,1,2022-10-12,Correctivo,2409,22,Ubicacion_C
33,1,2022-10-25,Correctivo,4672,17,Ubicacion_C
34,1,2022-11-12,Correctivo,1559,14,Ubicacion_C
35,1,2022-11-30,Correctivo,563,18,Ubicacion_C
36,1,2022-12-16,Correctivo,3399,18,Ubicacion_C
37,1,2022-12-24,Correctivo,686,1,Ubicacion_C
38,1,2023-01-26,Correctivo,4041,20,Ubicacion_C
39,1,2023-01-31,Correctivo,4192,19,Ubicacion_C
