Ubicacion,Fallo,Tiempo_medio_entre_fallos(h),Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Norte,0,1220.125,139.97,4.31,41114.0,Motor,Siemens,M400,4351.0,3549
Planta Norte,0,752.0,71.11,3.24,42929.0,Transformador,GE,X100,3728.0,8016
Planta Norte,0,752.0,76.25,4.83,41738.0,Transformador,GE,X100,3728.0,8016
Planta Norte,0,752.0,137.49,0.94,76688.0,Transformador,GE,X100,3728.0,8016
Planta Norte,0,752.0,61.59,0.67,35992.0,Transformador,GE,X100,3728.0,8016
Planta Norte,0,752.0,59.8,0.12,71601.0,Transformador,GE,X100,3728.0,8016
Planta Sur,1,699.0769230769231,89.23,4.12,81714.0,Transformador,GE,M400,253.0,7764
Planta Norte,1,1368.857142857143,61.95,4.66,96881.0,Motor,ABB,Y200,2597.0,4993
Planta Norte,1,1368.857142857143,144.2,2.85,51291.0,Motor,ABB,Y200,2597.0,4993
Planta Norte,1,1368.857142857143,50.47,1.34,69364.0,Motor,ABB,Y200,2597.0,4993
Planta Norte,1,1233.25,90.36,1.16,98904.0,Generador,GE,X100,2625.0,4602
Planta Norte,1,1233.25,73.42,1.12,10414.0,Generador,GE,X100,2625.0,4602
Planta Norte,1,1233.25,79.23,4.69,39696.0,Generador,GE,X100,2625.0,4602
Planta Norte,1,1233.25,138.17,2.88,13153.0,Generador,GE,X100,2625.0,4602
Planta Sur,1,575.5,141.82,4.46,3094.0,Transformador,ABB,Y200,2166.0,9505
Planta Sur,1,575.5,79.59,1.91,14594.0,Transformador,ABB,Y200,2166.0,9505
Planta Sur,1,698.4166666666666,67.14,1.12,70026.0,Motor,ABB,Z300,1780.0,8351
Planta Sur,1,698.4166666666666,76.8,4.81,96571.0,Motor,ABB,Z300,1780.0,8351
Planta Sur,0,875.625,73.6,4.225,52005.0,Motor,Schneider,Z300,2355.0,6278
Planta Este,1,636.9230769230769,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Oeste,0,636.9230769230769,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Norte,1,982.5555555555555,74.74,4.52,13153.0,Motor,GE,X100,1599.0,8383
Planta Sur,0,1379.5714285714287,106.58,0.24,75530.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,0,1379.5714285714287,104.25,1.55,74227.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,0,1379.5714285714287,134.63,1.2,46143.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,0,1379.5714285714287,73.39,2.14,43655.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,0,1379.5714285714287,87.42,2.77,36846.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,0,1379.5714285714287,99.64999999999999,2.87,42353.5,Compresor,Schneider,X100,1192.0,6299
Planta Norte,1,680.3571428571429,72.06,1.49,74847.0,Transformador,Siemens,M400,3807.0,3178
Planta Norte,1,680.3571428571429,116.46,1.47,60773.0,Transformador,Siemens,M400,3807.0,3178
Planta Oeste,1,902.9090909090909,122.37,1.91,91137.0,Compresor,GE,X100,3513.0,8895
Planta Oeste,1,902.9090909090909,142.62,3.62,60561.0,Compresor,GE,X100,3513.0,8895
Planta Oeste,1,902.9090909090909,137.95,2.17,61222.0,Compresor,GE,X100,3513.0,8895
Planta Norte,0,827.0,56.42,4.67,70018.0,Compresor,GE,X100,637.0,5843
Planta Norte,0,827.0,136.86,1.1,1854.0,Compresor,GE,X100,637.0,5843
Planta Oeste,0,552.3,68.89,3.48,4737.0,Generador,Schneider,Z300,4192.0,9303
Planta Sur,0,842.2727272727273,112.15,3.65,3750.0,Generador,ABB,M400,4720.0,3143
Planta Sur,1,744.3076923076923,86.31,2.67,76236.0,Transformador,Siemens,X100,244.0,6357
Planta Sur,1,744.3076923076923,72.36,0.71,15726.0,Transformador,Siemens,X100,244.0,6357
Planta Sur,0,827.0,56.42,4.67,70018.0,Compresor,GE,X100,637.0,5843
Planta Sur,0,827.0,136.86,1.1,1854.0,Compresor,GE,X100,637.0,5843
Planta Sur,0,1109.375,72.38,0.44,94305.0,Generador,Schneider,X100,4082.0,6958
Planta Sur,0,1109.375,108.69,4.25,69693.0,Generador,Schneider,X100,4082.0,6958
Planta Este,0,632.7,149.0,4.49,99272.0,Transformador,GE,Y200,4246.0,4516
Planta Este,0,632.7,66.97,4.11,12544.0,Transformador,GE,Y200,4246.0,4516
Planta Oeste,0,1025.888888888889,113.07,0.89,25231.0,Motor,ABB,Y200,1083.0,2944
Planta Oeste,0,1025.888888888889,115.67,4.08,86280.0,Motor,ABB,Y200,1083.0,2944
Planta Oeste,0,1025.888888888889,139.08,3.8,40952.0,Motor,ABB,Y200,1083.0,2944
Planta Este,0,739.4166666666666,115.09,1.38,3449.0,Motor,ABB,Z300,260.0,7954
Planta Este,0,739.4166666666666,148.22,3.56,74201.0,Motor,ABB,Z300,260.0,7954
Planta Este,0,739.4166666666666,58.24,2.13,48015.0,Motor,ABB,Z300,260.0,7954
Planta Este,1,1001.6666666666666,85.92,3.34,66313.0,Motor,Siemens,X100,946.0,6127
Planta Este,1,1001.6666666666666,144.5,4.86,60097.0,Motor,Siemens,X100,946.0,6127
Planta Sur,0,1566.5,50.93,2.3,40622.0,Compresor,Schneider,X100,4990.0,4462
Planta Sur,0,1566.5,137.41,2.72,55520.0,Compresor,Schneider,X100,4990.0,4462
Planta Este,1,659.5714285714286,57.08,3.21,36290.0,Compresor,ABB,M400,2074.0,6712
Planta Este,1,659.5714285714286,103.83000000000001,3.12,41681.0,Compresor,ABB,M400,2074.0,6712
Planta Este,1,659.5714285714286,108.38,4.92,43208.0,Compresor,ABB,M400,2074.0,6712
Planta Norte,1,808.25,70.51,2.39,4455.0,Generador,ABB,X100,194.0,4061
Planta Este,0,745.7272727272727,139.42,4.22,78104.0,Motor,GE,X100,1549.0,8111
Planta Este,0,745.7272727272727,67.03,1.38,23464.0,Motor,GE,X100,1549.0,8111
Planta Norte,0,1327.142857142857,102.25,4.7,94635.0,Generador,Schneider,X100,4928.0,9028
Planta Norte,0,1327.142857142857,78.19,2.915,33811.0,Generador,Schneider,X100,4928.0,9028
Planta Sur,0,1044.8333333333333,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,1044.8333333333333,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,0,1296.0,112.48,2.46,1376.0,Compresor,Schneider,Z300,2725.0,7002
Planta Norte,0,999.6666666666666,130.07,0.37,53524.0,Generador,Siemens,X100,4231.0,9047
Planta Este,0,745.1818181818181,124.81,3.55,81946.0,Generador,ABB,Z300,2986.0,7395
Planta Este,0,745.1818181818181,129.92,3.18,49616.0,Generador,ABB,Z300,2986.0,7395
Planta Este,1,765.0,103.35,3.9,37071.0,Motor,ABB,Z300,1706.0,4455
Planta Oeste,1,1154.625,136.44,0.98,32909.0,Motor,Schneider,Z300,1484.0,1407
Planta Oeste,1,1154.625,118.81,2.2,2421.0,Motor,Schneider,Z300,1484.0,1407
Planta Oeste,1,1154.625,146.27,1.48,21926.0,Motor,Schneider,Z300,1484.0,1407
Planta Oeste,0,616.2857142857143,99.43,0.59,25292.0,Compresor,GE,X100,4722.0,9660
Planta Oeste,0,616.2857142857143,80.2,3.96,54826.0,Compresor,GE,X100,4722.0,9660
Planta Oeste,0,616.2857142857143,116.92,4.22,83090.0,Compresor,GE,X100,4722.0,9660
Planta Norte,1,704.7272727272727,121.04,0.16,89849.0,Compresor,Schneider,Z300,215.0,3803
Planta Oeste,1,926.8888888888889,95.7,4.2,14286.0,Motor,Schneider,M400,517.0,2802
Planta Norte,1,854.375,59.49,4.64,18341.0,Motor,Schneider,Y200,3607.0,6085
Planta Norte,1,854.375,115.37,3.29,80717.0,Motor,Schneider,Y200,3607.0,6085
Planta Norte,1,854.375,79.16,2.63,54865.0,Motor,Schneider,Y200,3607.0,6085
Planta Oeste,0,456.1875,145.01,4.42,70117.0,Compresor,Schneider,Y200,633.0,7585
Planta Sur,0,702.5454545454545,117.16,2.99,97530.0,Compresor,ABB,X100,1915.0,6573
Planta Este,1,853.5555555555555,85.43,0.47,34836.0,Compresor,ABB,Z300,3352.0,7649
Planta Norte,0,623.5384615384615,75.54,4.3,43741.0,Compresor,Schneider,Y200,1671.0,8525
Planta Sur,0,668.9090909090909,95.67,3.57,73779.0,Motor,GE,X100,182.0,904
Planta Sur,0,668.9090909090909,125.25,1.79,31062.0,Motor,GE,X100,182.0,904
Planta Oeste,0,808.25,70.51,2.39,4455.0,Generador,ABB,X100,194.0,4061
Planta Este,0,1297.0,68.25,3.93,22876.0,Compresor,Siemens,Y200,2683.0,2185
Planta Oeste,1,1139.75,118.06,4.86,76090.0,Generador,ABB,X100,3565.0,7238
Planta Oeste,1,1139.75,74.31,0.77,63541.0,Generador,ABB,X100,3565.0,7238
Planta Oeste,1,1139.75,116.87,1.12,85679.0,Generador,ABB,X100,3565.0,7238
Planta Este,1,1120.5,97.98,4.12,43864.0,Transformador,Siemens,Z300,1881.0,4891
Planta Este,0,903.3,123.62,2.34,21661.0,Compresor,Schneider,X100,4932.0,2023
Planta Este,0,903.3,73.97,3.81,7424.0,Compresor,Schneider,X100,4932.0,2023
Planta Norte,0,1198.0,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Norte,0,857.4545454545455,66.77,4.83,88115.0,Motor,ABB,Y200,2184.0,8003
Planta Norte,0,857.4545454545455,52.72,4.23,61815.0,Motor,ABB,Y200,2184.0,8003
Planta Oeste,1,1230.6,148.06,4.96,85231.0,Motor,GE,X100,2068.0,1824
Planta Norte,1,978.2,118.31,1.29,29831.0,Motor,Siemens,Z300,4733.0,3301
Planta Norte,1,978.2,96.23,1.78,90164.0,Motor,Siemens,Z300,4733.0,3301
Planta Norte,1,1220.125,139.97,4.31,41114.0,Motor,Siemens,M400,4351.0,3549
Planta Oeste,1,1179.2857142857142,95.67,3.32,5794.0,Motor,Schneider,X100,1965.0,1235
Planta Oeste,1,1179.2857142857142,122.47,1.48,93125.0,Motor,Schneider,X100,1965.0,1235
Planta Oeste,1,1179.2857142857142,84.23,3.28,62420.0,Motor,Schneider,X100,1965.0,1235
Planta Este,0,837.4545454545455,81.21,4.09,56219.0,Transformador,Schneider,X100,968.0,2098
Planta Este,1,826.1666666666666,113.87,2.01,68941.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,826.1666666666666,105.8,2.07,31551.0,Motor,GE,Y200,4459.0,8434
Planta Sur,0,1034.375,55.58,3.45,59101.0,Transformador,Siemens,M400,1129.0,6842
Planta Sur,0,1034.375,120.26,1.12,61875.0,Transformador,Siemens,M400,1129.0,6842
Planta Sur,1,728.0833333333334,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Sur,0,771.7272727272727,74.29,4.77,70710.0,Compresor,Siemens,Y200,756.0,8274
Planta Sur,1,765.0,103.35,3.9,37071.0,Motor,ABB,Z300,1706.0,4455
Planta Oeste,1,1248.0,113.38,4.05,98719.0,Compresor,Schneider,M400,4966.0,7411
Planta Sur,1,667.4615384615385,129.66,0.54,83149.0,Transformador,Siemens,Y200,75.0,7390
Planta Sur,0,857.0,74.95,4.88,51929.0,Transformador,ABB,M400,4796.0,9453
Planta Sur,0,857.0,109.95,1.35,19235.0,Transformador,ABB,M400,4796.0,9453
Planta Sur,0,960.7777777777778,62.15,3.22,33575.0,Generador,GE,X100,248.0,865
Planta Sur,0,960.7777777777778,53.66,2.77,96446.0,Generador,GE,X100,248.0,865
Planta Sur,0,637.5,73.28,2.45,44356.0,Motor,ABB,Z300,1743.0,6195
Planta Sur,0,637.5,64.06,3.84,68506.0,Motor,ABB,Z300,1743.0,6195
Planta Sur,0,637.5,123.41,0.1,68528.0,Motor,ABB,Z300,1743.0,6195
Planta Sur,0,637.5,55.09,4.05,38579.0,Motor,ABB,Z300,1743.0,6195
Planta Oeste,0,1195.142857142857,59.78,2.0,57221.0,Generador,ABB,Z300,11976.5,3605
Planta Este,1,840.1818181818181,60.64,1.75,88092.0,Generador,GE,Z300,1885.0,5439
Planta Este,1,840.1818181818181,57.06,3.9,46363.0,Generador,GE,Z300,1885.0,5439
Planta Este,1,840.1818181818181,76.69,4.66,66482.0,Generador,GE,Z300,1885.0,5439
Planta Sur,0,834.4,80.86,1.57,76798.0,Transformador,Siemens,X100,2729.0,2209
Planta Norte,0,775.8181818181819,78.72,2.15,54891.0,Compresor,Schneider,Y200,1568.0,6806
Planta Este,1,636.9230769230769,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Este,1,1354.857142857143,74.82,4.14,10659.0,Generador,ABB,M400,2102.0,1681
Planta Este,1,1354.857142857143,84.37,0.54,5251.0,Generador,ABB,M400,2102.0,1681
Planta Este,1,1354.857142857143,114.56,4.25,45787.0,Generador,ABB,M400,2102.0,1681
Planta Sur,1,1379.5714285714287,106.58,0.24,75530.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,1,1379.5714285714287,104.25,1.55,74227.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,1,1379.5714285714287,134.63,1.2,46143.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,1,1379.5714285714287,73.39,2.14,43655.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,1,1379.5714285714287,87.42,2.77,36846.0,Compresor,Schneider,X100,1192.0,6299
Planta Sur,1,1379.5714285714287,99.64999999999999,2.87,42353.5,Compresor,Schneider,X100,1192.0,6299
Planta Norte,1,725.3076923076923,71.28,2.31,57943.0,Generador,Schneider,X100,269.0,7647
Planta Oeste,1,689.0714285714286,115.27,2.15,98591.0,Motor,GE,X100,2519.0,1575
Planta Oeste,1,689.0714285714286,130.42,4.53,67851.0,Motor,GE,X100,2519.0,1575
Planta Norte,0,1045.5,82.43,2.83,84748.0,Motor,ABB,M400,954.0,5662
Planta Este,0,1071.0,129.77,4.84,26795.0,Motor,Siemens,Y200,1631.0,1616
Planta Este,0,1071.0,126.15,4.58,77604.0,Motor,Siemens,Y200,1631.0,1616
Planta Este,0,1071.0,114.1,3.36,2737.0,Motor,Siemens,Y200,1631.0,1616
Planta Este,0,1071.0,146.89,3.73,12140.0,Motor,Siemens,Y200,1631.0,1616
Planta Este,0,1071.0,68.89,4.77,34828.0,Motor,Siemens,Y200,1631.0,1616
Planta Este,0,1071.0,102.09,3.12,73521.0,Motor,Siemens,Y200,1631.0,1616
Planta Sur,1,725.3076923076923,71.28,2.31,57943.0,Generador,Schneider,X100,269.0,7647
Planta Norte,1,1708.2,146.62,2.42,15455.0,Generador,Siemens,M400,3436.0,7039
Planta Este,1,749.0909090909091,146.53,1.94,28439.0,Transformador,ABB,X100,2617.0,8191
Planta Oeste,0,983.0,129.27,4.84,85363.0,Transformador,ABB,Y200,3088.0,6845
Planta Oeste,0,983.0,126.11,2.69,85878.0,Transformador,ABB,Y200,3088.0,6845
Planta Sur,1,926.3,143.06,4.63,58159.0,Compresor,ABB,X100,1909.0,3043
Planta Este,1,1297.0,68.25,3.93,22876.0,Compresor,Siemens,Y200,2683.0,2185
Planta Norte,1,1079.7777777777778,97.09,3.25,31744.0,Generador,Schneider,Y200,529.0,7127
Planta Este,1,1198.0,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Sur,0,686.0714285714286,148.01,3.27,34257.0,Compresor,Siemens,X100,11976.5,3160
Planta Norte,1,882.3636363636364,59.77,3.08,11457.0,Compresor,GE,M400,294.0,2236
Planta Norte,1,882.3636363636364,147.64,1.01,13886.0,Compresor,GE,M400,294.0,2236
Planta Oeste,0,1709.75,72.64,0.11,71054.0,Compresor,Siemens,Z300,1095.0,1793
Planta Norte,1,1330.5,81.18,3.48,28976.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,1,1330.5,99.59,2.23,54506.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,1,1330.5,149.33,4.33,63382.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,0,1248.0,113.38,4.05,98719.0,Compresor,Schneider,M400,4966.0,7411
Planta Este,1,1028.888888888889,111.99,1.65,90520.0,Motor,Schneider,M400,3935.0,6293
Planta Este,1,1028.888888888889,121.01,1.82,94273.0,Motor,Schneider,M400,3935.0,6293
Planta Este,0,623.5384615384615,75.54,4.3,43741.0,Compresor,Schneider,Y200,1671.0,8525
Planta Norte,1,1210.3333333333333,121.59,4.1,91927.0,Transformador,Schneider,Z300,4868.0,9440
Planta Norte,1,1210.3333333333333,112.18,4.38,7413.0,Transformador,Schneider,Z300,4868.0,9440
Planta Norte,1,1210.3333333333333,129.46,0.34,97022.0,Transformador,Schneider,Z300,4868.0,9440
Planta Norte,1,1210.3333333333333,55.45,0.74,66013.0,Transformador,Schneider,Z300,4868.0,9440
Planta Este,0,1566.5,50.93,2.3,40622.0,Compresor,Schneider,X100,4990.0,4462
Planta Este,0,1566.5,137.41,2.72,55520.0,Compresor,Schneider,X100,4990.0,4462
Planta Sur,0,1247.8333333333333,103.31,3.66,68862.0,Motor,GE,Z300,11976.5,9518
Planta Sur,0,1247.8333333333333,110.84,1.94,28439.0,Motor,GE,Z300,11976.5,9518
Planta Oeste,0,663.6,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Este,0,1099.8333333333333,112.05,1.35,41278.0,Transformador,Siemens,M400,540.0,8951
Planta Este,0,1099.8333333333333,107.82,3.92,33936.0,Transformador,Siemens,M400,540.0,8951
Planta Norte,1,787.25,80.47,2.32,59015.0,Transformador,GE,Z300,2713.0,3142
Planta Norte,1,787.25,134.33,0.68,33360.0,Transformador,GE,Z300,2713.0,3142
Planta Oeste,1,859.1111111111111,124.89,4.38,78572.0,Motor,GE,X100,780.0,5264
Planta Oeste,1,1813.6,79.15,4.12,52154.0,Transformador,ABB,Y200,3674.0,8328
Planta Oeste,0,1209.0,63.59,4.52,52556.0,Motor,Schneider,Z300,1180.0,4134
Planta Sur,0,1140.0,109.12,4.17,96297.0,Generador,GE,Z300,478.0,8144
Planta Sur,1,1568.8,106.33,1.57,39026.0,Generador,Siemens,X100,2395.0,8947
Planta Oeste,0,994.0,136.92,1.58,34813.0,Compresor,Siemens,Z300,3991.0,9920
Planta Norte,1,1224.2857142857142,53.31,2.52,62259.0,Compresor,Schneider,X100,3572.0,6291
Planta Oeste,0,656.7142857142857,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,0,656.7142857142857,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,0,829.4,132.62,1.93,28520.0,Compresor,GE,X100,605.0,3503
Planta Este,1,951.9,63.39,2.78,79244.0,Transformador,Siemens,X100,2539.0,9026
Planta Este,1,704.7272727272727,121.04,0.16,89849.0,Compresor,Schneider,Z300,215.0,3803
Planta Sur,0,783.7,96.61,1.67,84238.0,Motor,Schneider,Z300,11976.5,8722
Planta Oeste,0,686.0714285714286,148.01,3.27,34257.0,Compresor,Siemens,X100,11976.5,3160
Planta Este,0,1081.75,69.11,1.77,69351.0,Transformador,ABB,Y200,2175.0,828
Planta Este,0,1081.75,85.11,0.37,38550.0,Transformador,ABB,Y200,2175.0,828
Planta Oeste,0,999.6666666666666,130.07,0.37,53524.0,Generador,Siemens,X100,4231.0,9047
Planta Este,0,859.1111111111111,124.89,4.38,78572.0,Motor,GE,X100,780.0,5264
Planta Norte,1,656.7142857142857,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
