Ubicacion,Fallo,Promedio_Horas_Entre_Fallos_por_mes,Día,Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Este,1,83.0,29,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Este,1,609.0,29,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Oeste,0,83.0,29,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Oeste,0,609.0,29,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Norte,1,491.0,23,72.06,1.49,74847.0,Transformador,Siemens,M400,3807.0,3178
Planta Norte,1,491.0,30,116.46,1.47,60773.0,Transformador,Siemens,M400,3807.0,3178
Planta Este,1,166.0,3,57.08,3.21,36290.0,Compresor,ABB,M400,2074.0,6712
Planta Este,1,166.0,14,103.83000000000001,3.12,41681.0,Compresor,ABB,M400,2074.0,6712
Planta Este,1,166.0,20,108.38,4.92,43208.0,Compresor,ABB,M400,2074.0,6712
Planta Norte,0,11.0,6,102.25,4.7,94635.0,Generador,Schneider,X100,4928.0,9028
Planta Norte,0,11.0,16,78.19,2.915,33811.0,Generador,Schneider,X100,4928.0,9028
Planta Sur,0,45.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,45.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,49.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,49.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,1,37.0,31,103.35,3.9,37071.0,Motor,ABB,Z300,1706.0,4455
Planta Norte,1,90.0,2,121.04,0.16,89849.0,Compresor,Schneider,Z300,215.0,3803
Planta Norte,1,274.0,1,59.49,4.64,18341.0,Motor,Schneider,Y200,3607.0,6085
Planta Norte,1,274.0,13,115.37,3.29,80717.0,Motor,Schneider,Y200,3607.0,6085
Planta Norte,1,274.0,14,79.16,2.63,54865.0,Motor,Schneider,Y200,3607.0,6085
Planta Este,1,480.0,18,85.43,0.47,34836.0,Compresor,ABB,Z300,3352.0,7649
Planta Norte,0,81.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Norte,0,187.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Oeste,1,288.0,14,148.06,4.96,85231.0,Motor,GE,X100,2068.0,1824
Planta Norte,1,223.0,12,118.31,1.29,29831.0,Motor,Siemens,Z300,4733.0,3301
Planta Norte,1,223.0,30,96.23,1.78,90164.0,Motor,Siemens,Z300,4733.0,3301
