Ubicacion,Fallo,Promedio_Horas_Entre_Fallos_por_mes,Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Sur,1,37.0,103.35,3.9,10.2975,Motor,ABB,Z300,1706.0,1.2375
Planta Este,1,83.0,57.58,3.65,0.06944444444444445,Generador,GE,Y200,3432.0,2.281388888888889
Planta Norte,1,5.0,71.28,2.31,16.095277777777778,Generador,Schneider,X100,269.0,2.1241666666666665
Planta Sur,1,5.0,71.28,2.31,16.095277777777778,Generador,Schneider,X100,269.0,2.1241666666666665
Planta Este,1,90.0,121.04,0.16,24.958055555555557,Compresor,Schneider,Z300,215.0,1.0563888888888888
Planta Este,1,72.0,88.64,2.09,24.1025,Generador,Siemens,Z300,3332.0,1.7702777777777778
Planta Sur,1,81.0,105.99,0.25,1.7619444444444445,Motor,Siemens,X100,2505.0,0.4688888888888889
Planta Este,1,166.0,93.28,3.5925,11.309722222222222,Compresor,ABB,M400,2074.0,1.8644444444444443
Planta Oeste,1,40.0,124.375,2.6950000000000003,9.70888888888889,Motor,ABB,Z300,3028.0,2.3247222222222224
Planta Sur,0,53.0,81.21,4.09,15.616388888888888,Transformador,Schneider,X100,968.0,0.5827777777777777
Planta Oeste,1,53.0,81.21,4.09,15.616388888888888,Transformador,Schneider,X100,968.0,0.5827777777777777
Planta Norte,1,1.0,113.55000000000001,0.7533333333333333,8.912962962962963,Generador,ABB,X100,3786.0,2.6375
Planta Oeste,1,1.0,113.55000000000001,0.7533333333333333,8.912962962962963,Generador,ABB,X100,3786.0,2.6375
Planta Norte,1,169.0,64.79666666666667,3.436666666666667,18.60527777777778,Generador,GE,Z300,1885.0,1.5108333333333333
Planta Sur,1,188.0,109.83500000000001,2.04,13.957222222222223,Motor,GE,Y200,4459.0,2.3427777777777776
Planta Este,1,141.0,124.89,4.38,21.825555555555557,Motor,GE,X100,780.0,1.4622222222222223
Planta Norte,1,168.0,116.5,1.7349999999999999,25.665694444444444,Motor,Schneider,M400,3935.0,1.7480555555555555
Planta Sur,1,223.0,107.27000000000001,1.5350000000000001,16.665972222222223,Motor,Siemens,Z300,4733.0,0.9169444444444445
Planta Este,1,76.0,85.04,2.04,21.76388888888889,Compresor,Schneider,Z300,3000.0,0.5516666666666666
Planta Norte,1,69.0,113.55000000000001,0.7533333333333333,8.912962962962963,Generador,ABB,X100,3786.0,2.6375
Planta Oeste,1,28.0,62.94,3.93,20.879722222222224,Transformador,Siemens,Z300,1396.0,2.3777777777777778
Planta Oeste,1,274.0,84.67333333333333,3.5199999999999996,14.252129629629628,Motor,Schneider,Y200,3607.0,1.6902777777777778
Planta Norte,1,81.0,71.22,1.09,14.540555555555555,Motor,GE,Y200,1380.0,1.2180555555555554
Planta Sur,1,207.0,79.15,4.12,14.487222222222222,Transformador,ABB,Y200,3674.0,2.3133333333333335
Planta Sur,1,288.0,148.06,4.96,23.67527777777778,Motor,GE,X100,2068.0,0.5066666666666667
Planta Oeste,1,187.0,105.99,0.25,1.7619444444444445,Motor,Siemens,X100,2505.0,0.4688888888888889
Planta Oeste,1,45.0,105.44,4.155,11.765277777777778,Motor,Siemens,Z300,1883.0,2.5011111111111113
Planta Sur,1,238.0,132.29,2.495,13.443472222222223,Transformador,Siemens,Y200,4850.0,0.48944444444444446
Planta Este,1,129.0,109.83500000000001,2.04,13.957222222222223,Motor,GE,Y200,4459.0,2.3427777777777776
Planta Oeste,1,136.0,70.87,2.36,18.345972222222223,Generador,ABB,Y200,2067.0,2.5455555555555556
Planta Oeste,1,324.0,113.38,4.05,27.421944444444446,Compresor,Schneider,M400,4966.0,2.058611111111111
Planta Oeste,1,123.0,69.19,2.48,14.922777777777778,Motor,Siemens,Y200,3461.0,2.091388888888889
Planta Este,1,49.0,105.44,4.155,11.765277777777778,Motor,Siemens,Z300,1883.0,2.5011111111111113
