ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Tiempo_Reparacion_Horas,Costo_Mantenimiento,Ubicacion
OT000001,E016,2015-01-01,Preventivo,43,3781,Planta Sur
OT000002,E006,2015-01-02,Preventivo,6,2674,Planta Este
OT000003,E013,2015-01-03,Correctivo,43,3731,Planta Oeste
OT000004,E018,2015-01-04,Correctivo,43,2059,Planta Sur
OT000005,E004,2015-01-05,Correctivo,47,593,Planta Este
OT000006,E011,2015-01-06,Correctivo,25,4512,Planta Sur
OT000007,E019,2015-01-07,Preventivo,36,4742,Planta Norte
OT000008,E013,2015-01-08,Correctivo,18,517,Planta Norte
OT000009,E011,2015-01-09,Correctivo,22,2500,Planta Norte
OT000010,E002,2015-01-10,Preventivo,6,3408,Planta Sur
OT000011,E012,2015-01-11,Correctivo,36,4244,Planta Este
OT000012,E008,2015-01-12,Correctivo,46,3983,Planta Oeste
OT000013,E005,2015-01-13,Correctivo,18,639,Planta Sur
OT000014,E017,2015-01-14,Correctivo,22,2460,Planta Este
OT000015,E004,2015-01-15,Correctivo,13,3819,Planta Norte
OT000016,E002,2015-01-16,Preventivo,26,1077,Planta Norte
OT000017,E011,2015-01-17,Correctivo,25,2269,Planta Sur
OT000018,E018,2015-01-18,Preventivo,4,2537,Planta Este
OT000019,E002,2015-01-19,Correctivo,18,3223,Planta Sur
OT000020,E016,2015-01-20,Correctivo,46,3347,Planta Sur
OT000021,E013,2015-01-21,Correctivo,28,2911,Planta Norte
OT000022,E009,2015-01-22,Correctivo,42,3062,Planta Sur
OT000023,E012,2015-01-23,Correctivo,16,1426,Planta Oeste
OT000024,E011,2015-01-24,Preventivo,6,4798,Planta Norte
OT000025,E011,2015-01-25,Correctivo,44,3981,Planta Oeste
OT000026,E006,2015-01-26,Correctivo,12,1298,Planta Norte
OT000027,E011,2015-01-27,Correctivo,17,1544,Planta Oeste
OT000028,E002,2015-01-28,Correctivo,13,4039,Planta Este
OT000029,E010,2015-01-29,Correctivo,9,2538,Planta Este
OT000030,E009,2015-01-30,Preventivo,27,3664,Planta Oeste
OT000031,E012,2015-01-31,Preventivo,19,4480,Planta Este
OT000032,E014,2015-02-01,Preventivo,7,2834,Planta Norte
OT000033,E016,2015-02-02,Correctivo,20,633,Planta Norte
OT000034,E003,2015-02-03,Correctivo,32,4120,Planta Oeste
OT000035,E008,2015-02-04,Preventivo,40,2671,Planta Norte
OT000036,E009,2015-02-05,Preventivo,42,2516,Planta Oeste
OT000037,E019,2015-02-06,Correctivo,40,4617,Planta Este
OT000038,E004,2015-02-07,Preventivo,34,4556,Planta Norte
OT000039,E003,2015-02-08,Preventivo,40,3636,Planta Norte
OT000040,E018,2015-02-09,Preventivo,24,2958,Planta Este
OT000041,E015,2015-02-10,Correctivo,9,3955,Planta Sur
OT000042,E013,2015-02-11,Preventivo,7,589,Planta Oeste
OT000043,E006,2015-02-12,Correctivo,14,898,Planta Este
OT000044,E014,2015-02-13,Correctivo,7,2266,Planta Norte
OT000045,E005,2015-02-14,Preventivo,19,958,Planta Sur
OT000046,E011,2015-02-15,Correctivo,31,1755,Planta Sur
OT000047,E020,2015-02-16,Preventivo,35,3243,Planta Oeste
OT000048,E008,2015-02-17,Preventivo,42,2687,Planta Oeste
OT000049,E020,2015-02-18,Correctivo,47,2060,Planta Sur
OT000050,E001,2015-02-19,Preventivo,37,3801,Planta Este
OT000051,E017,2015-02-20,Correctivo,43,659,Planta Norte
OT000052,E012,2015-02-21,Correctivo,23,4599,Planta Este
OT000053,E008,2015-02-22,Preventivo,43,2274,Planta Oeste
OT000054,E007,2015-02-23,Preventivo,2,2277,Planta Oeste
OT000055,E014,2015-02-24,Correctivo,28,2476,Planta Sur
OT000056,E007,2015-02-25,Correctivo,9,3899,Planta Norte
OT000057,E014,2015-02-26,Correctivo,7,549,Planta Oeste
OT000058,E016,2015-02-27,Correctivo,17,4539,Planta Este
OT000059,E009,2015-02-28,Preventivo,44,3475,Planta Este
OT000060,E008,2015-03-01,Correctivo,40,4613,Planta Este
OT000061,E008,2015-03-02,Correctivo,29,4281,Planta Norte
OT000062,E018,2015-03-03,Preventivo,35,3773,Planta Norte
OT000063,E003,2015-03-04,Correctivo,22,2132,Planta Norte
OT000064,E016,2015-03-05,Correctivo,17,1081,Planta Sur
OT000065,E006,2015-03-06,Preventivo,38,2243,Planta Norte
OT000066,E012,2015-03-07,Preventivo,8,1358,Planta Este
OT000067,E001,2015-03-08,Correctivo,18,3489,Planta Norte
OT000068,E018,2015-03-09,Correctivo,20,4587,Planta Este
OT000069,E003,2015-03-10,Preventivo,7,2827,Planta Oeste
