ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion
1,465,2020-01-01 00:00:00,Correctivo,1405.2,47,Planta Norte
2,418,2020-01-01 01:00:00,Correctivo,5922.92,38,Planta Norte
3,228,2020-01-01 02:00:00,Correctivo,7119.05,34,Planta Oeste
4,300,2020-01-01 03:00:00,Correctivo,3488.33,38,Planta Oeste
5,325,2020-01-01 04:00:00,Correctivo,5611.37,15,Planta Este
6,449,2020-01-01 05:00:00,Preventivo,7996.45,32,Planta Norte
7,234,2020-01-01 06:00:00,Preventivo,8648.28,5,Planta Este
8,487,2020-01-01 07:00:00,Correctivo,2329.24,6,Planta Sur
9,191,2020-01-01 08:00:00,Correctivo,1743.03,33,Planta Este
10,444,2020-01-01 09:00:00,Preventivo,8899.57,30,Planta Norte
11,335,2020-01-01 10:00:00,Correctivo,2993.12,38,Planta Oeste
12,86,2020-01-01 11:00:00,Correctivo,7790.27,32,Planta Oeste
13,275,2020-01-01 12:00:00,Correctivo,5323.28,3,Planta Norte
14,161,2020-01-01 13:00:00,Correctivo,4986.48,17,Planta Oeste
15,81,2020-01-01 14:00:00,Correctivo,7579.6,30,Planta Este
16,323,2020-01-01 15:00:00,Correctivo,6776.04,23,Planta Sur
17,245,2020-01-01 16:00:00,Correctivo,1809.27,32,Planta Este
18,235,2020-01-01 17:00:00,Preventivo,2335.5,34,Planta Sur
19,60,2020-01-01 18:00:00,Correctivo,7485.46,30,Planta Este
20,288,2020-01-01 19:00:00,Preventivo,4010.69,37,Planta Este
21,90,2020-01-01 20:00:00,Preventivo,1032.27,33,Planta Este
22,421,2020-01-01 21:00:00,Preventivo,7897.3,41,Planta Sur
23,28,2020-01-01 22:00:00,Correctivo,7709.88,28,Planta Sur
24,37,2020-01-01 23:00:00,Correctivo,8790.4,41,Planta Oeste
25,180,2020-01-02 00:00:00,Correctivo,2385.93,45,Planta Sur
26,101,2020-01-02 01:00:00,Correctivo,1160.32,22,Planta Este
27,312,2020-01-02 02:00:00,Correctivo,9958.21,42,Planta Norte
28,80,2020-01-02 03:00:00,Correctivo,1774.68,38,Planta Oeste
29,161,2020-01-02 04:00:00,Correctivo,6932.58,19,Planta Este
30,280,2020-01-02 05:00:00,Preventivo,5015.62,19,Planta Oeste
31,154,2020-01-02 06:00:00,Correctivo,5268.85,42,Planta Sur
32,56,2020-01-02 07:00:00,Correctivo,8712.08,2,Planta Sur
