ID_Registro,ID_Equipo,Fecha,Temperatura_C,Vibracion_mm_s,Horas_Operativas
1,147,2020-01-01 00:00:00,124.61,3.49,61609.0
2,111,2020-01-01 01:00:00,58.12,3.62,49474.0
3,475,2020-01-01 02:00:00,124.86,3.36,59760.0
4,337,2020-01-01 03:00:00,110.45,1.56,27752.0
5,212,2020-01-01 04:00:00,70.53,4.89,33066.0
6,377,2020-01-01 05:00:00,142.32,0.77,20984.0
7,41,2020-01-01 06:00:00,76.17,2.82,36053.0
8,227,2020-01-01 07:00:00,87.21,2.97,25377.0
9,15,2020-01-01 08:00:00,116.38,0.5,71354.0
10,298,2020-01-01 09:00:00,78.96,2.72,48381.0
11,67,2020-01-01 10:00:00,83.46,0.13,22556.0
12,69,2020-01-01 11:00:00,116.74,1.73,46540.0
13,68,2020-01-01 12:00:00,60.66,2.62,26082.0
14,256,2020-01-01 13:00:00,62.21,4.92,20815.0
15,413,2020-01-01 14:00:00,79.77,4.31,67169.0
16,179,2020-01-01 15:00:00,92.24,2.6,66602.0
17,155,2020-01-01 16:00:00,95.76,2.43,61022.0
18,164,2020-01-01 17:00:00,131.51,4.28,79925.0
19,441,2020-01-01 18:00:00,77.41,1.76,95834.0
20,198,2020-01-01 19:00:00,67.03,2.09,3347.0
21,277,2020-01-01 20:00:00,137.2,1.12,78768.0
22,357,2020-01-01 21:00:00,125.42,3.89,56017.0
23,255,2020-01-01 22:00:00,134.03,1.83,89607.0
24,10,2020-01-01 23:00:00,122.53,2.65,68231.0
25,133,2020-01-02 00:00:00,58.03,2.5,39423.0
26,273,2020-01-02 01:00:00,63.51,3.32,90174.0
27,386,2020-01-02 02:00:00,132.0,2.17,32857.0
28,330,2020-01-02 03:00:00,58.41,3.67,54160.0
29,18,2020-01-02 04:00:00,136.53,1.12,3015.0
30,8,2020-01-02 05:00:00,85.45,1.83,15660.0
31,41,2020-01-02 06:00:00,53.18,0.19,15961.0
32,300,2020-01-02 07:00:00,56.95,3.12,4225.0
33,131,2020-01-02 08:00:00,73.42,1.44,81382.0
34,157,2020-01-02 09:00:00,123.58,3.62,1820.0
35,460,2020-01-02 10:00:00,93.05,2.71,4048.0
36,58,2020-01-02 11:00:00,124.13,3.47,97658.0
37,204,2020-01-02 12:00:00,65.12,4.82,91498.0
38,442,2020-01-02 13:00:00,89.87,0.32,35736.0
39,10,2020-01-02 14:00:00,54.71,1.3,51245.0
40,45,2020-01-02 15:00:00,54.05,1.46,63090.0
41,74,2020-01-02 16:00:00,136.0,4.84,27044.0
42,131,2020-01-02 17:00:00,73.27,3.37,40590.0
43,481,2020-01-02 18:00:00,102.31,3.15,67187.0
44,362,2020-01-02 19:00:00,106.99,1.05,67747.0
45,382,2020-01-02 20:00:00,56.76,1.23,87263.0
46,475,2020-01-02 21:00:00,83.09,2.51,15257.0
47,311,2020-01-02 22:00:00,142.95,1.61,12993.0
48,21,2020-01-02 23:00:00,54.99,0.35,5187.0
49,122,2020-01-03 00:00:00,53.12,3.43,66664.0
50,50,2020-01-03 01:00:00,123.17,4.5,90862.0
51,362,2020-01-03 02:00:00,51.62,4.4,89411.0
52,168,2020-01-03 03:00:00,51.25,3.89,39486.0
53,376,2020-01-03 04:00:00,65.58,4.94,46935.0
54,482,2020-01-03 05:00:00,78.15,0.36,29926.0
55,212,2020-01-03 06:00:00,81.54,0.58,53746.0
56,23,2020-01-03 07:00:00,123.87,3.93,45754.0
57,130,2020-01-03 08:00:00,52.15,4.71,6977.0
58,338,2020-01-03 09:00:00,96.33,2.03,45199.0
59,458,2020-01-03 10:00:00,126.95,1.56,45340.0
60,427,2020-01-03 11:00:00,81.76,0.57,65297.0
61,484,2020-01-03 12:00:00,120.67,2.54,64679.0
62,124,2020-01-03 13:00:00,60.33,0.64,29542.0
63,152,2020-01-03 14:00:00,128.17,3.91,82706.0
64,334,2020-01-03 15:00:00,127.56,1.72,89718.0
65,473,2020-01-03 16:00:00,142.37,2.43,34273.0
66,86,2020-01-03 17:00:00,126.36,3.86,67168.0
67,424,2020-01-03 18:00:00,105.76,4.03,72410.0
68,400,2020-01-03 19:00:00,66.89,0.96,3979.0
69,330,2020-01-03 20:00:00,141.07,1.91,61366.0
70,218,2020-01-03 21:00:00,128.33,3.36,65899.0
71,197,2020-01-03 22:00:00,62.66,1.84,74008.0
72,133,2020-01-03 23:00:00,136.67,4.46,17064.0
73,436,2020-01-04 00:00:00,64.65,2.56,75131.0
74,301,2020-01-04 01:00:00,75.97,4.15,19959.0
75,53,2020-01-04 02:00:00,85.82,1.39,11962.0
