ID_Equipo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
1,Bomba,Fabricante_A,Modelo_8,432,657
2,Generador,Fabricante_B,Modelo_2,393,522
3,Motor,Fabricante_C,Modelo_7,398,885
4,Bomba,Fabricante_D,Modelo_4,121,668
5,Generador,Fabricante_C,Modelo_7,51,958
6,Generador,Fabricante_B,Modelo_7,79,968
7,Compresor,Fabricante_A,Modelo_6,440,999
8,Motor,Fabricante_C,Modelo_6,162,820
9,Generador,Fabricante_D,Modelo_8,351,569
10,Compresor,Fabricante_C,Modelo_9,219,552
11,Bomba,Fabricante_B,Modelo_6,391,760
12,Compresor,Fabricante_A,Modelo_2,207,674
13,Bomba,Fabricante_D,Modelo_5,498,525
14,Generador,Fabricante_B,Modelo_4,465,807
15,Generador,Fabricante_B,Modelo_6,456,720
16,Bomba,Fabricante_D,Modelo_5,148,549
17,Bomba,Fabricante_C,Modelo_1,269,966
18,Bomba,Fabricante_C,Modelo_8,352,751
19,Motor,Fabricante_B,Modelo_1,392,535
20,Motor,Fabricante_B,Modelo_10,299,500
21,Generador,Fabricante_C,Modelo_2,388,681
22,Bomba,Fabricante_D,Modelo_2,340,903
23,Generador,Fabricante_A,Modelo_2,130,984
24,Generador,Fabricante_A,Modelo_6,270,987
25,Compresor,Fabricante_D,Modelo_5,242,818
26,Compresor,Fabricante_D,Modelo_10,244,933
27,Generador,Fabricante_C,Modelo_7,463,611
28,Generador,Fabricante_B,Modelo_2,113,575
29,Generador,Fabricante_A,Modelo_1,255,993
30,Compresor,Fabricante_B,Modelo_7,477,838
31,Compresor,Fabricante_C,Modelo_8,94,520
32,Compresor,Fabricante_D,Modelo_8,116,509
33,Generador,Fabricante_C,Modelo_10,128,613
34,Generador,Fabricante_A,Modelo_9,72,597
35,Generador,Fabricante_C,Modelo_8,389,993
36,Bomba,Fabricante_B,Modelo_3,92,986
37,Generador,Fabricante_C,Modelo_1,350,917
38,Generador,Fabricante_D,Modelo_10,378,695
39,Compresor,Fabricante_D,Modelo_8,241,612
40,Bomba,Fabricante_A,Modelo_2,495,726
41,Compresor,Fabricante_B,Modelo_8,362,830
42,Motor,Fabricante_B,Modelo_9,430,670
43,Compresor,Fabricante_B,Modelo_6,402,931
44,Bomba,Fabricante_C,Modelo_7,354,604
45,Generador,Fabricante_C,Modelo_1,214,943
46,Generador,Fabricante_B,Modelo_9,219,787
47,Motor,Fabricante_D,Modelo_10,351,714
48,Motor,Fabricante_B,Modelo_7,214,514
49,Motor,Fabricante_D,Modelo_10,347,950
50,Motor,Fabricante_A,Modelo_2,138,536
51,Bomba,Fabricante_C,Modelo_4,351,500
52,Motor,Fabricante_A,Modelo_7,341,703
53,Generador,Fabricante_A,Modelo_2,57,596
54,Compresor,Fabricante_D,Modelo_4,419,724
55,Compresor,Fabricante_B,Modelo_9,71,660
56,Motor,Fabricante_B,Modelo_2,277,715
57,Compresor,Fabricante_C,Modelo_2,196,606
