ID_Equipo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
1,Motor,Fabricante_B,Modelo_10,202,866
2,Compresor,Fabricante_B,Modelo_2,136,841
3,Generador,Fabricante_B,Modelo_3,385,767
4,Motor,Fabricante_B,Modelo_9,301,682
5,Bomba,Fabricante_D,Modelo_3,148,969
6,Compresor,Fabricante_C,Modelo_5,381,831
7,Motor,Fabricante_C,Modelo_6,143,523
8,Motor,Fabricante_A,Modelo_4,96,784
9,Motor,Fabricante_D,Modelo_10,421,627
10,Bomba,Fabricante_B,Modelo_6,87,806
11,Motor,Fabricante_D,Modelo_6,129,983
12,Generador,Fabricante_D,Modelo_2,114,768
13,Bomba,Fabricante_A,Modelo_6,282,658
14,Motor,Fabricante_D,Modelo_7,293,826
15,Generador,Fabricante_B,Modelo_8,477,890
16,Motor,Fabricante_A,Modelo_3,213,801
17,Motor,Fabricante_B,Modelo_6,387,944
18,Compresor,Fabricante_B,Modelo_10,57,955
19,Bomba,Fabricante_D,Modelo_9,227,630
20,Motor,Fabricante_A,Modelo_3,163,540
21,Motor,Fabricante_D,Modelo_2,303,935
22,Compresor,Fabricante_B,Modelo_1,73,536
23,Bomba,Fabricante_B,Modelo_6,466,884
24,Motor,Fabricante_C,Modelo_1,460,733
25,Generador,Fabricante_A,Modelo_8,171,920
26,Compresor,Fabricante_D,Modelo_4,447,736
27,Compresor,Fabricante_A,Modelo_2,175,948
28,Generador,Fabricante_C,Modelo_10,222,630
29,Motor,Fabricante_A,Modelo_3,238,878
30,Bomba,Fabricante_A,Modelo_8,77,657
31,Generador,Fabricante_D,Modelo_5,371,915
32,Bomba,Fabricante_A,Modelo_1,390,943
33,Motor,Fabricante_A,Modelo_1,62,600
34,Generador,Fabricante_B,Modelo_4,304,629
35,Motor,Fabricante_A,Modelo_6,177,573
36,Generador,Fabricante_D,Modelo_2,383,592
37,Compresor,Fabricante_A,Modelo_1,412,657
38,Motor,Fabricante_C,Modelo_1,173,832
39,Motor,Fabricante_A,Modelo_6,342,783
40,Bomba,Fabricante_B,Modelo_1,182,762
41,Generador,Fabricante_C,Modelo_6,145,656
42,Compresor,Fabricante_B,Modelo_6,107,615
43,Compresor,Fabricante_C,Modelo_10,252,622
44,Generador,Fabricante_D,Modelo_3,318,829
45,Generador,Fabricante_A,Modelo_8,280,861
46,Bomba,Fabricante_A,Modelo_9,79,850
47,Motor,Fabricante_A,Modelo_7,235,724
48,Generador,Fabricante_B,Modelo_6,479,615
49,Generador,Fabricante_A,Modelo_4,306,574
50,Motor,Fabricante_D,Modelo_4,434,829
51,Compresor,Fabricante_D,Modelo_9,448,893
