ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion
1,382,2021-01-01,Correctivo,4331,16,Ubicacion_A
2,350,2021-01-01,Correctivo,2927,12,Ubicacion_A
3,302,2021-01-02,Correctivo,3863,6,Ubicacion_B
4,55,2021-01-02,Correctivo,1556,2,Ubicacion_D
5,89,2021-01-02,Correctivo,3680,17,Ubicacion_B
6,430,2021-01-02,Correctivo,1165,8,Ubicacion_D
7,334,2021-01-02,Correctivo,538,18,Ubicacion_C
8,53,2021-01-02,Correctivo,1172,23,Ubicacion_D
9,84,2021-01-02,Correctivo,1461,7,Ubicacion_C
10,75,2021-01-02,Correctivo,1390,23,Ubicacion_D
11,349,2021-01-02,Correctivo,4858,15,Ubicacion_C
12,347,2021-01-03,Correctivo,3928,21,Ubicacion_A
13,369,2021-01-03,Correctivo,989,13,Ubicacion_A
14,180,2021-01-03,Correctivo,2519,3,Ubicacion_D
15,439,2021-01-03,Correctivo,3493,2,Ubicacion_A
16,395,2021-01-04,Correctivo,4103,9,Ubicacion_A
17,120,2021-01-04,Correctivo,4011,11,Ubicacion_A
18,332,2021-01-04,Correctivo,2100,15,Ubicacion_B
19,111,2021-01-04,Correctivo,1770,19,Ubicacion_C
20,197,2021-01-05,Correctivo,2984,13,Ubicacion_A
21,257,2021-01-05,Correctivo,4980,18,Ubicacion_D
22,258,2021-01-05,Correctivo,2863,10,Ubicacion_A
23,54,2021-01-05,Correctivo,3096,20,Ubicacion_D
24,482,2021-01-05,Correctivo,4961,24,Ubicacion_A
25,394,2021-01-05,Correctivo,1016,4,Ubicacion_C
26,329,2021-01-05,Correctivo,1372,18,Ubicacion_A
27,87,2021-01-05,Correctivo,1317,20,Ubicacion_D
28,220,2021-01-06,Correctivo,1603,12,Ubicacion_A
29,398,2021-01-06,Correctivo,1305,2,Ubicacion_C
30,150,2021-01-06,Correctivo,4878,24,Ubicacion_A
31,134,2021-01-06,Correctivo,3950,1,Ubicacion_A
32,290,2021-01-06,Correctivo,2733,18,Ubicacion_A
33,104,2021-01-07,Correctivo,3971,11,Ubicacion_D
34,346,2021-01-07,Correctivo,3373,6,Ubicacion_B
35,212,2021-01-07,Correctivo,4386,19,Ubicacion_B
36,259,2021-01-07,Correctivo,4752,13,Ubicacion_D
37,493,2021-01-08,Correctivo,3272,13,Ubicacion_D
38,317,2021-01-08,Correctivo,1906,24,Ubicacion_D
39,42,2021-01-09,Correctivo,4666,21,Ubicacion_C
40,31,2021-01-09,Correctivo,3562,22,Ubicacion_A
41,407,2021-01-09,Correctivo,2663,11,Ubicacion_C
42,263,2021-01-09,Correctivo,4502,3,Ubicacion_A
43,441,2021-01-09,Correctivo,2610,11,Ubicacion_C
44,153,2021-01-09,Correctivo,4106,16,Ubicacion_C
45,129,2021-01-09,Correctivo,4296,24,Ubicacion_A
46,352,2021-01-09,Correctivo,1911,23,Ubicacion_B
47,270,2021-01-10,Correctivo,3701,8,Ubicacion_B
48,252,2021-01-10,Correctivo,4335,12,Ubicacion_C
49,401,2021-01-10,Correctivo,3847,8,Ubicacion_C
50,496,2021-01-10,Correctivo,1680,1,Ubicacion_A
51,151,2021-01-10,Correctivo,963,2,Ubicacion_A
52,450,2021-01-10,Correctivo,4795,13,Ubicacion_C
53,288,2021-01-10,Correctivo,1138,14,Ubicacion_B
54,134,2021-01-10,Correctivo,728,19,Ubicacion_A
55,422,2021-01-10,Correctivo,2078,2,Ubicacion_C
56,396,2021-01-11,Correctivo,1136,3,Ubicacion_B
57,477,2021-01-11,Correctivo,4624,23,Ubicacion_D
58,378,2021-01-11,Correctivo,1200,11,Ubicacion_D
59,281,2021-01-11,Correctivo,2998,1,Ubicacion_C
60,12,2021-01-11,Correctivo,2058,15,Ubicacion_B
61,228,2021-01-11,Correctivo,3330,21,Ubicacion_B
62,194,2021-01-11,Correctivo,3273,21,Ubicacion_C
63,208,2021-01-12,Correctivo,1408,16,Ubicacion_D
64,352,2021-01-12,Correctivo,2796,15,Ubicacion_B
65,200,2021-01-12,Correctivo,3102,14,Ubicacion_B
66,395,2021-01-12,Correctivo,4803,10,Ubicacion_A
67,12,2021-01-12,Correctivo,3163,16,Ubicacion_B
68,88,2021-01-13,Correctivo,4812,20,Ubicacion_B
69,99,2021-01-13,Correctivo,1479,5,Ubicacion_B
70,79,2021-01-13,Correctivo,3529,17,Ubicacion_C
71,408,2021-01-13,Correctivo,2028,20,Ubicacion_A
72,363,2021-01-13,Correctivo,4899,23,Ubicacion_D
73,322,2021-01-13,Correctivo,1613,1,Ubicacion_D
74,417,2021-01-13,Correctivo,3091,15,Ubicacion_C
75,58,2021-01-13,Correctivo,2017,7,Ubicacion_B
76,78,2021-01-13,Correctivo,3446,10,Ubicacion_D
77,37,2021-01-14,Correctivo,4119,4,Ubicacion_A
78,398,2021-01-14,Correctivo,698,19,Ubicacion_C
79,129,2021-01-14,Correctivo,1526,11,Ubicacion_A
80,386,2021-01-14,Correctivo,4252,22,Ubicacion_D
81,120,2021-01-14,Correctivo,2237,2,Ubicacion_A
82,382,2021-01-14,Correctivo,2636,1,Ubicacion_A
83,390,2021-01-15,Correctivo,800,14,Ubicacion_D
84,327,2021-01-15,Correctivo,4855,20,Ubicacion_C
85,103,2021-01-15,Correctivo,888,14,Ubicacion_D
86,378,2021-01-15,Correctivo,4018,23,Ubicacion_D
87,370,2021-01-16,Correctivo,4346,3,Ubicacion_C
88,215,2021-01-16,Correctivo,1842,18,Ubicacion_C
89,165,2021-01-16,Correctivo,2010,9,Ubicacion_C
90,306,2021-01-16,Correctivo,1661,14,Ubicacion_B
91,461,2021-01-16,Correctivo,1983,20,Ubicacion_C
92,290,2021-01-16,Correctivo,1761,20,Ubicacion_A
93,128,2021-01-16,Correctivo,3735,9,Ubicacion_C
94,384,2021-01-17,Correctivo,2014,20,Ubicacion_C
95,309,2021-01-17,Correctivo,1004,22,Ubicacion_B
96,38,2021-01-17,Correctivo,2171,23,Ubicacion_B
97,180,2021-01-17,Correctivo,3825,4,Ubicacion_D
98,457,2021-01-17,Correctivo,3003,12,Ubicacion_B
99,239,2021-01-17,Correctivo,4549,22,Ubicacion_D
100,27,2021-01-18,Correctivo,2502,18,Ubicacion_D
101,350,2021-01-18,Correctivo,4162,11,Ubicacion_A
102,280,2021-01-18,Preventivo,765,2,Ubicacion_A
103,298,2021-01-18,Correctivo,1211,6,Ubicacion_D
104,419,2021-01-18,Correctivo,2873,12,Ubicacion_D
105,485,2021-01-18,Preventivo,424,1,Ubicacion_A
106,387,2021-01-18,Correctivo,4606,21,Ubicacion_B
107,99,2021-01-18,Preventivo,440,2,Ubicacion_B
108,380,2021-01-18,Correctivo,3306,20,Ubicacion_B
109,448,2021-01-18,Preventivo,565,2,Ubicacion_A
110,499,2021-01-18,Preventivo,816,2,Ubicacion_D
111,327,2021-01-19,Correctivo,2407,3,Ubicacion_C
112,109,2021-01-19,Correctivo,4747,18,Ubicacion_B
113,356,2021-01-19,Preventivo,844,2,Ubicacion_D
114,248,2021-01-19,Preventivo,912,2,Ubicacion_B
115,198,2021-01-19,Correctivo,4200,22,Ubicacion_B
116,72,2021-01-19,Preventivo,717,2,Ubicacion_D
117,155,2021-01-19,Preventivo,787,1,Ubicacion_A
118,43,2021-01-19,Correctivo,3202,18,Ubicacion_C
119,288,2021-01-19,Correctivo,4345,16,Ubicacion_B
120,358,2021-01-20,Correctivo,1536,5,Ubicacion_B
121,373,2021-01-20,Preventivo,919,1,Ubicacion_A
122,340,2021-01-20,Preventivo,621,1,Ubicacion_A
123,13,2021-01-20,Preventivo,276,1,Ubicacion_B
124,461,2021-01-20,Preventivo,677,1,Ubicacion_C
125,315,2021-01-20,Preventivo,614,2,Ubicacion_C
126,468,2021-01-20,Preventivo,852,1,Ubicacion_A
127,466,2021-01-20,Correctivo,690,18,Ubicacion_C
128,181,2021-01-20,Preventivo,635,1,Ubicacion_A
129,183,2021-01-20,Correctivo,1032,5,Ubicacion_B
130,191,2021-01-20,Preventivo,328,2,Ubicacion_D
131,139,2021-01-21,Preventivo,498,1,Ubicacion_D
132,247,2021-01-21,Preventivo,146,1,Ubicacion_B
133,260,2021-01-21,Correctivo,4900,9,Ubicacion_A
134,28,2021-01-21,Preventivo,223,1,Ubicacion_C
135,351,2021-01-21,Correctivo,1602,12,Ubicacion_B
136,27,2021-01-21,Preventivo,536,1,Ubicacion_D
137,104,2021-01-21,Correctivo,2970,16,Ubicacion_D
138,456,2021-01-21,Preventivo,759,2,Ubicacion_B
139,446,2021-01-21,Preventivo,228,2,Ubicacion_A
140,299,2021-01-21,Correctivo,2740,11,Ubicacion_A
141,421,2021-01-21,Preventivo,516,1,Ubicacion_D
142,303,2021-01-21,Preventivo,607,1,Ubicacion_C
143,145,2021-01-21,Correctivo,1296,16,Ubicacion_B
144,303,2021-01-21,Correctivo,1656,1,Ubicacion_C
145,345,2021-01-21,Preventivo,751,1,Ubicacion_A
146,189,2021-01-22,Correctivo,1442,2,Ubicacion_D
147,407,2021-01-22,Correctivo,4220,24,Ubicacion_C
148,381,2021-01-22,Correctivo,2991,14,Ubicacion_B
149,383,2021-01-22,Correctivo,4968,12,Ubicacion_C
150,34,2021-01-22,Preventivo,653,2,Ubicacion_D
151,207,2021-01-22,Preventivo,857,1,Ubicacion_A
152,391,2021-01-22,Preventivo,100,1,Ubicacion_D
153,10,2021-01-22,Preventivo,408,1,Ubicacion_D
154,196,2021-01-22,Correctivo,1391,18,Ubicacion_B
155,2,2021-01-22,Preventivo,349,2,Ubicacion_C
156,309,2021-01-22,Preventivo,301,2,Ubicacion_B
157,230,2021-01-22,Correctivo,2313,13,Ubicacion_D
158,281,2021-01-22,Preventivo,783,2,Ubicacion_C
159,20,2021-01-22,Preventivo,916,2,Ubicacion_D
160,456,2021-01-22,Correctivo,4613,6,Ubicacion_B
161,454,2021-01-22,Preventivo,891,2,Ubicacion_D
162,260,2021-01-22,Preventivo,514,1,Ubicacion_A
163,484,2021-01-22,Preventivo,426,2,Ubicacion_C
164,460,2021-01-22,Preventivo,644,1,Ubicacion_D
165,476,2021-01-23,Preventivo,811,2,Ubicacion_B
166,429,2021-01-23,Preventivo,158,2,Ubicacion_C
167,398,2021-01-23,Preventivo,496,1,Ubicacion_C
168,96,2021-01-23,Preventivo,693,2,Ubicacion_C
169,61,2021-01-23,Preventivo,752,1,Ubicacion_A
170,105,2021-01-23,Preventivo,986,1,Ubicacion_C
171,419,2021-01-23,Preventivo,702,2,Ubicacion_D
172,170,2021-01-23,Preventivo,929,1,Ubicacion_D
173,413,2021-01-23,Preventivo,123,1,Ubicacion_A
174,492,2021-01-23,Correctivo,3228,1,Ubicacion_A
175,90,2021-01-23,Preventivo,741,2,Ubicacion_A
176,78,2021-01-23,Preventivo,637,2,Ubicacion_D
177,495,2021-01-23,Preventivo,436,2,Ubicacion_C
178,125,2021-01-23,Correctivo,1371,22,Ubicacion_C
179,451,2021-01-23,Preventivo,181,1,Ubicacion_B
180,146,2021-01-23,Preventivo,396,1,Ubicacion_A
181,380,2021-01-23,Preventivo,106,2,Ubicacion_B
182,381,2021-01-23,Preventivo,624,2,Ubicacion_B
183,9,2021-01-23,Preventivo,230,1,Ubicacion_C
184,417,2021-01-23,Preventivo,230,2,Ubicacion_C
185,220,2021-01-23,Preventivo,306,1,Ubicacion_A
186,388,2021-01-23,Preventivo,680,1,Ubicacion_B
187,19,2021-01-23,Preventivo,709,2,Ubicacion_B
188,382,2021-01-23,Preventivo,830,2,Ubicacion_A
189,452,2021-01-24,Preventivo,415,1,Ubicacion_B
190,443,2021-01-24,Correctivo,1389,2,Ubicacion_B
191,457,2021-01-24,Preventivo,596,1,Ubicacion_B
192,114,2021-01-24,Preventivo,612,2,Ubicacion_D
193,146,2021-01-24,Correctivo,1370,11,Ubicacion_A
194,120,2021-01-24,Preventivo,745,1,Ubicacion_A
195,53,2021-01-24,Preventivo,509,1,Ubicacion_D
196,206,2021-01-24,Preventivo,141,1,Ubicacion_B
197,408,2021-01-24,Correctivo,1323,20,Ubicacion_A
198,304,2021-01-24,Preventivo,766,2,Ubicacion_B
199,326,2021-01-24,Preventivo,389,2,Ubicacion_C
200,95,2021-01-24,Preventivo,973,1,Ubicacion_B
201,88,2021-01-24,Preventivo,814,2,Ubicacion_B
202,296,2021-01-24,Preventivo,502,1,Ubicacion_D
203,295,2021-01-24,Correctivo,1482,11,Ubicacion_C
204,268,2021-01-24,Preventivo,991,2,Ubicacion_B
205,353,2021-01-24,Preventivo,571,2,Ubicacion_B
206,262,2021-01-24,Preventivo,532,2,Ubicacion_D
207,364,2021-01-24,Preventivo,850,2,Ubicacion_D
208,159,2021-01-24,Preventivo,445,1,Ubicacion_A
209,366,2021-01-24,Preventivo,544,1,Ubicacion_C
210,259,2021-01-24,Correctivo,3011,22,Ubicacion_D
211,370,2021-01-24,Preventivo,235,2,Ubicacion_C
212,250,2021-01-24,Preventivo,196,1,Ubicacion_A
213,74,2021-01-24,Preventivo,440,1,Ubicacion_A
214,33,2021-01-24,Preventivo,261,2,Ubicacion_A
215,310,2021-01-24,Preventivo,437,2,Ubicacion_B
216,58,2021-01-24,Preventivo,807,2,Ubicacion_B
217,186,2021-01-24,Preventivo,175,1,Ubicacion_C
218,404,2021-01-24,Preventivo,943,1,Ubicacion_B
219,48,2021-01-24,Preventivo,141,2,Ubicacion_A
220,51,2021-01-24,Preventivo,342,2,Ubicacion_C
221,106,2021-01-24,Correctivo,1858,15,Ubicacion_C
222,251,2021-01-24,Preventivo,177,2,Ubicacion_C
223,500,2021-01-24,Correctivo,3513,15,Ubicacion_D
224,472,2021-01-24,Correctivo,4444,18,Ubicacion_B
225,84,2021-01-25,Preventivo,952,1,Ubicacion_C
226,82,2021-01-25,Preventivo,983,1,Ubicacion_D
227,233,2021-01-25,Preventivo,606,1,Ubicacion_C
228,112,2021-01-25,Preventivo,885,1,Ubicacion_D
229,133,2021-01-25,Preventivo,280,1,Ubicacion_C
230,113,2021-01-25,Preventivo,771,2,Ubicacion_D
231,207,2021-01-25,Correctivo,1202,7,Ubicacion_A
232,93,2021-01-25,Correctivo,4470,18,Ubicacion_D
233,223,2021-01-25,Preventivo,783,1,Ubicacion_D
234,168,2021-01-25,Preventivo,673,1,Ubicacion_C
235,4,2021-01-25,Preventivo,959,2,Ubicacion_D
236,434,2021-01-25,Preventivo,400,1,Ubicacion_C
237,31,2021-01-25,Preventivo,104,1,Ubicacion_A
238,443,2021-01-25,Preventivo,232,2,Ubicacion_B
239,494,2021-01-25,Preventivo,721,1,Ubicacion_D
240,445,2021-01-25,Preventivo,902,2,Ubicacion_D
241,50,2021-01-25,Preventivo,905,2,Ubicacion_D
242,232,2021-01-25,Preventivo,164,2,Ubicacion_B
243,453,2021-01-25,Preventivo,576,1,Ubicacion_D
244,192,2021-01-25,Correctivo,4938,1,Ubicacion_C
245,121,2021-01-25,Preventivo,787,1,Ubicacion_C
246,222,2021-01-25,Preventivo,225,1,Ubicacion_C
247,279,2021-01-25,Preventivo,102,1,Ubicacion_A
248,470,2021-01-25,Preventivo,704,2,Ubicacion_A
249,204,2021-01-25,Preventivo,521,1,Ubicacion_C
250,199,2021-01-25,Preventivo,139,2,Ubicacion_C
251,44,2021-01-25,Preventivo,543,2,Ubicacion_B
252,371,2021-01-25,Preventivo,550,1,Ubicacion_D
253,278,2021-01-25,Preventivo,321,2,Ubicacion_D
254,259,2021-01-25,Preventivo,392,2,Ubicacion_D
255,60,2021-01-26,Preventivo,613,1,Ubicacion_B
256,110,2021-01-26,Preventivo,808,2,Ubicacion_C
257,32,2021-01-26,Preventivo,970,1,Ubicacion_A
258,124,2021-01-26,Preventivo,819,2,Ubicacion_A
259,402,2021-01-26,Preventivo,137,2,Ubicacion_B
260,311,2021-01-26,Preventivo,776,2,Ubicacion_A
261,286,2021-01-26,Preventivo,518,1,Ubicacion_A
262,450,2021-01-26,Preventivo,253,1,Ubicacion_C
263,317,2021-01-26,Preventivo,622,1,Ubicacion_D
264,134,2021-01-26,Preventivo,546,2,Ubicacion_A
265,117,2021-01-26,Correctivo,1801,4,Ubicacion_C
266,348,2021-01-26,Preventivo,576,1,Ubicacion_D
267,389,2021-01-26,Preventivo,696,2,Ubicacion_D
268,331,2021-01-26,Preventivo,884,2,Ubicacion_D
269,275,2021-01-26,Preventivo,701,2,Ubicacion_D
270,14,2021-01-26,Correctivo,1697,6,Ubicacion_C
271,108,2021-01-26,Preventivo,333,2,Ubicacion_D
272,487,2021-01-26,Preventivo,133,1,Ubicacion_B
273,469,2021-01-26,Preventivo,496,2,Ubicacion_C
274,81,2021-01-27,Preventivo,127,1,Ubicacion_B
275,215,2021-01-27,Preventivo,922,1,Ubicacion_C
276,421,2021-01-27,Correctivo,546,16,Ubicacion_D
277,15,2021-01-27,Preventivo,832,1,Ubicacion_C
278,432,2021-01-27,Preventivo,937,2,Ubicacion_A
279,42,2021-01-27,Preventivo,221,2,Ubicacion_C
280,363,2021-01-27,Preventivo,658,1,Ubicacion_D
281,226,2021-01-27,Preventivo,335,2,Ubicacion_A
282,433,2021-01-27,Preventivo,800,2,Ubicacion_D
283,117,2021-01-27,Preventivo,998,2,Ubicacion_C
284,151,2021-01-27,Preventivo,314,1,Ubicacion_A
285,379,2021-01-27,Preventivo,882,1,Ubicacion_C
286,229,2021-01-27,Preventivo,577,1,Ubicacion_B
287,477,2021-01-27,Preventivo,157,2,Ubicacion_D
288,149,2021-01-27,Preventivo,576,2,Ubicacion_B
289,69,2021-01-27,Preventivo,243,1,Ubicacion_C
290,34,2021-01-27,Correctivo,2646,20,Ubicacion_D
291,393,2021-01-27,Correctivo,1733,2,Ubicacion_C
292,274,2021-01-27,Preventivo,784,1,Ubicacion_B
293,372,2021-01-27,Preventivo,432,2,Ubicacion_D
294,19,2021-01-27,Correctivo,2696,10,Ubicacion_B
295,400,2021-01-27,Preventivo,970,2,Ubicacion_B
296,300,2021-01-27,Preventivo,112,2,Ubicacion_C
297,57,2021-01-27,Preventivo,834,1,Ubicacion_B
298,271,2021-01-27,Preventivo,385,2,Ubicacion_C
299,374,2021-01-27,Preventivo,878,1,Ubicacion_A
300,128,2021-01-27,Preventivo,241,2,Ubicacion_C
301,12,2021-01-27,Preventivo,225,1,Ubicacion_B
302,118,2021-01-27,Preventivo,321,2,Ubicacion_B
303,339,2021-01-27,Correctivo,4175,18,Ubicacion_B
304,216,2021-01-27,Preventivo,413,1,Ubicacion_B
305,444,2021-01-28,Preventivo,365,2,Ubicacion_B
306,358,2021-01-28,Preventivo,941,1,Ubicacion_B
307,330,2021-01-28,Preventivo,416,2,Ubicacion_B
308,291,2021-01-28,Preventivo,854,1,Ubicacion_B
309,376,2021-01-28,Preventivo,970,2,Ubicacion_D
310,38,2021-01-28,Preventivo,513,1,Ubicacion_B
311,313,2021-01-28,Preventivo,865,2,Ubicacion_C
312,346,2021-01-28,Preventivo,906,2,Ubicacion_B
313,245,2021-01-28,Preventivo,985,1,Ubicacion_C
314,390,2021-01-28,Preventivo,132,1,Ubicacion_D
315,393,2021-01-28,Preventivo,805,2,Ubicacion_C
316,394,2021-01-28,Preventivo,735,1,Ubicacion_C
317,221,2021-01-28,Preventivo,237,1,Ubicacion_D
318,288,2021-01-28,Preventivo,251,2,Ubicacion_B
319,368,2021-01-28,Preventivo,180,2,Ubicacion_B
320,270,2021-01-28,Preventivo,587,2,Ubicacion_B
321,409,2021-01-28,Preventivo,306,2,Ubicacion_A
322,270,2021-01-28,Correctivo,1103,1,Ubicacion_B
323,474,2021-01-28,Preventivo,938,2,Ubicacion_B
324,423,2021-01-28,Preventivo,475,1,Ubicacion_D
325,116,2021-01-28,Preventivo,463,2,Ubicacion_C
326,425,2021-01-28,Correctivo,940,19,Ubicacion_B
327,226,2021-01-28,Correctivo,4863,6,Ubicacion_A
328,435,2021-01-28,Preventivo,460,2,Ubicacion_B
329,16,2021-01-28,Preventivo,655,1,Ubicacion_B
330,35,2021-01-28,Correctivo,3278,12,Ubicacion_C
331,141,2021-01-28,Preventivo,924,2,Ubicacion_B
332,254,2021-01-28,Preventivo,997,2,Ubicacion_A
333,55,2021-01-28,Preventivo,402,1,Ubicacion_D
334,88,2021-01-28,Correctivo,1827,12,Ubicacion_B
335,343,2021-01-28,Preventivo,551,2,Ubicacion_B
336,230,2021-01-29,Preventivo,338,1,Ubicacion_D
