ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion
799,1,2020-02-03 06:00:00,Preventivo,404.72,37,Planta Oeste
837,1,2020-02-04 20:00:00,Correctivo,7465.08,39,Planta Oeste
1344,1,2020-02-25 23:00:00,Correctivo,7577.35,40,Planta Oeste
1836,1,2020-03-17 11:00:00,Correctivo,5227.75,17,Planta Oeste
2103,1,2020-03-28 14:00:00,Preventivo,6879.63,16,Planta Oeste
2167,1,2020-03-31 06:00:00,Preventivo,1332.57,15,Planta Oeste
2241,1,2020-04-03 08:00:00,Preventivo,3938.11,24,Planta Oeste
2509,1,2020-04-14 12:00:00,Preventivo,8248.13,40,Planta Oeste
2640,1,2020-04-19 23:00:00,Preventivo,1541.37,22,Planta Oeste
3391,1,2020-05-21 06:00:00,Preventivo,6079.02,45,Planta Oeste
3936,1,2020-06-12 23:00:00,Correctivo,2324.7,20,Planta Oeste
4970,1,2020-07-26 01:00:00,Correctivo,4908.29,41,Planta Oeste
5352,1,2020-08-10 23:00:00,Correctivo,5314.29,7,Planta Oeste
5765,1,2020-08-28 04:00:00,Preventivo,5655.84,15,Planta Oeste
5769,1,2020-08-28 08:00:00,Preventivo,2785.36,44,Planta Oeste
5973,1,2020-09-05 20:00:00,Preventivo,746.34,20,Planta Oeste
6076,1,2020-09-10 03:00:00,Preventivo,9892.98,2,Planta Oeste
6084,1,2020-09-10 11:00:00,Preventivo,2183.7,11,Planta Oeste
8078,1,2020-12-02 13:00:00,Correctivo,134.82,33,Planta Oeste
8985,1,2021-01-09 08:00:00,Correctivo,5819.87,4,Planta Oeste
9594,1,2021-02-03 17:00:00,Preventivo,5721.25,17,Planta Oeste
9868,1,2021-02-15 03:00:00,Preventivo,9678.06,21,Planta Oeste
82,2,2020-01-04 09:00:00,Correctivo,5276.15,12,Planta Sur
446,2,2020-01-19 13:00:00,Correctivo,6073.54,24,Planta Sur
1410,2,2020-02-28 17:00:00,Correctivo,5147.89,42,Planta Sur
2150,2,2020-03-30 13:00:00,Preventivo,5653.51,14,Planta Sur
2196,2,2020-04-01 11:00:00,Preventivo,7743.57,30,Planta Sur
2290,2,2020-04-05 09:00:00,Correctivo,9775.44,45,Planta Sur
3120,2,2020-05-09 23:00:00,Preventivo,8003.7,20,Planta Sur
3431,2,2020-05-22 22:00:00,Correctivo,7003.86,35,Planta Sur
3565,2,2020-05-28 12:00:00,Preventivo,6850.03,9,Planta Sur
4442,2,2020-07-04 01:00:00,Correctivo,6616.47,42,Planta Sur
4754,2,2020-07-17 01:00:00,Correctivo,9677.68,44,Planta Sur
4886,2,2020-07-22 13:00:00,Correctivo,1963.86,26,Planta Sur
4937,2,2020-07-24 16:00:00,Correctivo,624.63,8,Planta Sur
5190,2,2020-08-04 05:00:00,Correctivo,7793.24,18,Planta Sur
5479,2,2020-08-16 06:00:00,Preventivo,1807.56,1,Planta Sur
5927,2,2020-09-03 22:00:00,Correctivo,8523.36,23,Planta Sur
6144,2,2020-09-12 23:00:00,Correctivo,5543.67,31,Planta Sur
6150,2,2020-09-13 05:00:00,Correctivo,484.36,32,Planta Sur
6385,2,2020-09-23 00:00:00,Preventivo,2829.2,41,Planta Sur
8384,2,2020-12-15 07:00:00,Preventivo,6736.01,7,Planta Sur
8477,2,2020-12-19 04:00:00,Preventivo,2355.97,17,Planta Sur
8759,2,2020-12-30 22:00:00,Correctivo,173.3,7,Planta Sur
9192,2,2021-01-17 23:00:00,Preventivo,7316.55,25,Planta Sur
9984,2,2021-02-19 23:00:00,Preventivo,329.55,47,Planta Sur
1706,3,2020-03-12 01:00:00,Correctivo,9809.66,15,Planta Oeste
2153,3,2020-03-30 16:00:00,Correctivo,7292.03,34,Planta Oeste
2517,3,2020-04-14 20:00:00,Preventivo,2981.07,34,Planta Oeste
3254,3,2020-05-15 13:00:00,Correctivo,2968.85,36,Planta Oeste
4353,3,2020-06-30 08:00:00,Correctivo,9772.41,8,Planta Oeste
4670,3,2020-07-13 13:00:00,Preventivo,4960.59,5,Planta Oeste
6377,3,2020-09-22 16:00:00,Correctivo,2625.65,29,Planta Oeste
6539,3,2020-09-29 10:00:00,Correctivo,1691.76,18,Planta Oeste
